"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"AI 跨界了，跑去画图、炒股、打官司。一整套 AI 团队打包干活，节点式画图精细到每一步，多源行情自动汇总成看板，还有给 AI 出的法律能力考卷。转发给做 AI 和开发的朋友，一起看看 AI 都跨界干了啥。

#AI #开源 #人工智能 #GitHub #AI工具 #程序员","export/UzFfBgAAxL2gGBtkGRaejMzT4DCa66IZFqUoLftJT_CcJsSloQ","2026/08/11","8.20%","12.43秒",549,0,2,0,16,0,16,0,0,0,,,,
"2个AI基建项目，一个会自我进化，一个让决策可追溯。
prime-agent越用越聪明，semantica让AI不再是黑盒。
转发给做开发的朋友看看，这两条路值得关注。

#GitHub热门 #程序员 #开源 #AI #科技 #编程","export/UzFfBgAAxI6gbDgJVBaejMzT4DCavyORyCT7HtcK1lZE8zM4Hw","2026/08/11","11.53%","19.63秒",1154,5,9,4,46,3,46,0,0,0,,,,
"谷歌开源天气模型WeatherNext，还有手机遥控AI编程、知识图谱读代码、12万星节点画图。4个GitHub热门，转发给做开发的朋友看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxL6gSFY7L32fjMzT4DCa133huoMSNNehZneKY0x_5g","2026/08/10","8.02%","14.44秒",686,2,3,0,13,7,13,0,0,0,,,,
"第33周GitHub周榜速览。
4G显存就能跑七百亿参数大模型。
13个项目分四个领域，大厂集中下场开源。
本地跑大模型成了主流，AI技能化从代码蔓延到文档和安全。
转发给做开发的朋友看看，这周的开源动态值得跟进。

#GitHub热门 #程序员 #开源 #AI #科技 #周报
","export/UzFfBgAAxI6gbC1lU3yfjMzT4DCarUhKZjKztwAzgkBrlCKe0g","2026/08/10","2.55%","12.20秒",431,0,1,0,3,3,3,0,0,0,,,,
"一个人开源自己用的技能包半年攒20万星，还有独立浏览器、AI组团交易，4个热门值得看，转发给做开发的朋友。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxLGgNCM0YVKcjMzT4DCafodo4hg7ewvjT22wEN7vTQ","2026/08/09","9.00%","21.21秒",789,1,8,0,21,2,21,0,0,0,,,,
"单日合计近三千星。4个AI项目走向协同。
能给自己打补丁的agent，Google官方技能包，
可追溯知识图谱基建，资深从业者的多AI协同。
转发给做AI、做开发的朋友看看。

#AI #开源 #人工智能 #GitHub #AI工具","export/UzFfBgAAxISgCDYlenmdjMzT4DCaadp6N45zXTJXtYtKLD7UTQ","2026/08/08","7.41%","16.01秒",634,3,7,2,19,2,19,0,0,0,,,,
"今天5个项目，AI只占2席。
有个AI agent自己复盘攒经验，单日涨2271星。
MiroFish七万星，模拟预测未来。
witr追进程源头，mise一统开发环境。
celld是deno团队的自托管基建。
觉得有用，转发给做开发的朋友。

#GitHub热门 #程序员 #开源 #科技 #编程 ","export/UzFfBgAAxJ6gEEQSPSiSjMzT4DCauMLvIJ_m8zBZ_kJKAE5Ohg","2026/08/08","7.38%","18.43秒",705,1,3,2,17,2,17,0,0,0,,,,
"今天 GitHub 四个项目杀入榜单，一半不是 AI。
有 Java 核心库、有自己管登录的认证中台、有给代码建图谱的工具、还有给 AI agent 配状态核的。
值得转发给做开发的朋友看看。
关注我，每天盘点热门项目。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxLugfHgNPmeTjMzT4DCaGYoGGbMbVck7Tfb9wUIREw","2026/08/07","11.61%","22.21秒",689,0,7,2,9,4,9,0,0,0,,,,
"转发给正在评估低代码平台的同事。通用大平台三年后护城河不在了，垂直深耕、做窄做深才是。七成靠开源、三成看差异、八成预置、两成配置、护城河押在 AI 替代不了的行业沉淀。

#低代码 #企业数字化 #AI编程 #产品经理 #科技赛道","export/UzFfBgAAxLqgMGRyFEGQjMzT4DCan6hCh2PsM_VDHZbuBRblIQ","2026/08/06","3.38%","19.02秒",473,1,1,0,2,0,2,0,0,0,,,,
"转发给做开发的朋友。今日 AI 风向标五个项目集体进化，superpowers 技能框架 931 星领跑，DeepSeek-Reasonix 终端常驻编程，agent-skills 工程级技能库，loopx 长跑循环内核，supervision 视觉工具常青。

#GitHub #开源 #AI智能体 #程序员 #人工智能 #科技前沿","export/UzFfBgAAxIugSB14Ok6QjMzT4DCaokVqWrCA7PNZCo1QTXta3w","2026/08/06","12.93%","14.61秒",665,0,9,2,15,3,15,0,0,0,,,,
"转发给做开发的朋友。今日 AI agent 工具主导榜单，腾讯云团队记忆中枢 1891 星登顶，cloudflare 给 agent 配电脑，Rust PDF 解析利器与 next.js 常青基建补位。

#GitHub #开源 #AI智能体 #程序员 #前端开发","export/UzFfBgAAxJKgaHx4ek6QjMzT4DCaRBqoKUcpMbVW1s_UHt_LGA","2026/08/06","9.04%","13.36秒",708,1,3,4,14,4,14,0,0,0,,,,
"26万星，让一群AI分工写代码。
今天 GitHub 这 5 个开源项目挺有意思。
AI技能框架、运行时、CSS、安全都有。
转发给做开发的朋友看看。

#GitHub热门 #开源 #程序员 #AI #科技
","export/UzFfBgAAxJegJGleNl2RjMzT4DCaKtK8LL12ME2jM96RDVcFOA","2026/08/05","7.40%","11.63秒",581,1,9,2,8,3,8,0,0,0,,,,
"5个AI开源项目，让AI自己干活。
26万星的AI技能框架，让AI按流程自己干完整套活。
4G显存普通电脑，本地跑700亿大模型。
uber开源的AI安全锁，给裸奔的AI agent上保险。
腾讯的团队AI共享脑，谁学到的大家都懂。
转发给做AI开发的朋友，这几个项目值得看看。你最想让AI替你干哪个活？

#AI #开源 #人工智能 #GitHub #AI工具","export/UzFfBgAAxL-gGFJ9ZC2WjMzT4DCahlqCnsxLlLzbvloUV7L55w","2026/08/05","7.13%","15.81秒",477,1,4,2,11,1,11,0,0,0,,,,
"AI开源项目合集，从自己记事到自己读全网到自己开口说话，转发给做开发的朋友看看。

#AI #开源 #人工智能 #GitHub #AI工具","export/UzFfBgAAxIugPBdXOFiWjMzT4DCa8FBvFTzshUCoEFo3QZe4pg","2026/08/04","7.14%","13.50秒",476,0,6,7,12,5,12,0,0,0,,,,
"4G老显卡，跑700亿参数大模型。
今天 GitHub 这 6 个开源项目挺有意思。
本地跑大模型、AI 语音、Rust 工具都有。
转发给做开发的朋友看看。

#GitHub热门 #开源 #程序员 #AI #科技","export/UzFfBgAAxKSgQDAdTA-XjMzT4DCabwWLeHMt6N8gBL0PJpZ8Gw","2026/08/04","6.97%","15.67秒",503,0,3,0,6,0,6,0,0,0,,,,
"命令行AI合集，转发给做开发的朋友看看。

#AI #开源 #人工智能 #GitHub #AI工具","export/UzFfBgAAxL2gaA4vfAqUjMzT4DCatPqcM7OivKdFzoOEEWIGqA","2026/08/03","6.33%","19.90秒",411,0,5,4,8,2,8,0,0,0,,,,
"第32周GitHub周榜，转发给做开发的程序员朋友。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxJCgZDpNRGWUjMzT4DCaw_iNuMpTRTbgAtimLPnhZA","2026/08/03","9.33%","18.34秒",643,1,10,1,25,4,25,0,0,0,,,,
"今天6个GitHub项目杀入榜单，AI基建占一半，给做开发的朋友参考。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxIegEHhrRXyUjMzT4DCaBh2F5o4ZUmCby3fr4BQ8Pg","2026/08/03","12.37%","22.22秒",1067,2,10,2,43,8,43,0,0,0,,,,
"4GB显卡跑起70B大模型，AI能力平民化。
今日5个AI开源项目，单日涨星近五千。
转发给做AI开发的朋友，一起看开源风向。

#AI #开源 #人工智能 #GitHub #AI工具","export/UzFfBgAAxKagcBdsFQSVjMzT4DCagoIHgc7-x_Us_JBNtGLtBw","2026/08/02","10.21%","15.45秒",724,1,9,2,15,1,15,0,0,0,,,,
"今天 GitHub 6 个开源热门。
有个能自己连干几小时。
微软 12 周 AI 课单日冲榜首。
一句话就能生成 3D 模型。
转发给做开发的朋友，下期见。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxIagZF89bE-VjMzT4DCai_nrSdwudcjmQmoY2FNrVw","2026/08/02","10.45%","15.14秒",622,1,4,2,17,5,17,0,0,0,,,,
"几十块芯片连电脑就是安全研究站，微软AI课全免费，开源替代把收费工具打下来。转发给做开发的朋友看看，这几个你最想用哪个。
#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxI-gWHxuEy6LjMzT4DCaenmM__Q83cF2F8p7cctWJQ","2026/08/01","7.12%","15.80秒",604,4,5,0,8,1,8,0,0,0,,,,
"今日 GitHub 6 个涨星项目。
本地语音助手不联网，数据不外传。
浏览器里直接画 3D 建筑。
AI 替你刷一个月热点出调研报告。
微软 PowerToys 免费 Windows 效率工具。
转发给做开发的朋友看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxKWgIGNsEmSIjMzT4DCaYu59_0R825MSQSs_OMoz5Q","2026/07/31","10.34%","15.21秒",870,0,7,4,43,2,43,0,0,0,,,,
"今天GitHub5个项目上榜。
榜首把技术书PDF压成AI编程助手技能。
还有26万星的技能框架、省内存的AI终端、微软语音AI、免费IT资产管理。
做开发的朋友可能用得上，转发给TA看看。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxLugfGcNXE2JjMzT4DCaNozHQab55S5tojdtzn0Org","2026/07/30","9.15%","15.70秒",820,5,14,2,41,4,41,0,0,0,,,,
"今天几个项目方向差别挺大。
浏览器造3D建筑、半年23万星的AI工具、微软AI治理都有。
非AI项目占了一半，跟平时不太一样。
转给做开发的朋友看看，你最看好哪个。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxLGgSGBsRzSPjMzT4DCaqnm-Cp30IIGL2vuUiINaPQ","2026/07/29","6.57%","12.01秒",487,4,13,0,20,2,20,0,0,0,,,,
"AI 能看视频了，今日 GitHub 六个项目杀入。

先看 claude-video，它让 AI 助手下载视频、抽帧、转录，反过来能看懂视频。
还有 airi，自托管 AI 伴侣，装在自己电脑，能陪你打游戏。
last30days 让 AI 跨平台帮你调研，GeoLibre 浏览器里做地图分析。

转发给做开发的朋友，看看哪个能用上。

#GitHub热门 #程序员 #开源 #AI #科技 ","export/UzFfBgAAxJygbCBuORCMjMzT4DCaDDbGeQ8Qst79gtSFr8iPKQ","2026/07/28","6.95%","50.37秒",777,3,11,0,32,7,32,0,0,0,,,,
"第31周 GitHub 周榜，14 个项目分四组。
AI 编程占一整组，涨幅王周涨近 1万6 千星。
转发给做开发的朋友，每周一起看开源。

#GitHub周榜 #程序员 #开源 #科技 #AI编程","export/UzFfBgAAxLagLAwsZgqNjMzT4DCalQlREDyQZhjs3nj33O7CFQ","2026/07/27","5.32%","20.77秒",3045,13,24,2,116,24,116,0,0,0,,,,
"AI做的设计同款字体同款渐变，全一个样。
impeccable用60条规则专治这种审美惰性。
还有Kronos读K线、superfile做终端美学。
buzz一天涨1705星是今日最高。
转发给做开发的朋友看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxLigBD4IT3ONjMzT4DCaxUS-DdG6AZA6gBdVdGMsAw","2026/07/27","6.10%","9.56秒",459,2,5,0,8,5,8,0,0,0,,,,
"今天 6 个项目都不靠云端。
bitchat 蓝牙 mesh 断网群聊，
buzz 单日 2491 星居榜首，
palmier-pro 本地 AI 剪视频，
harper 离线查语病，
阿里 open-code-review 开源，
Pumpkin 自建游戏服。
觉得有用，转发给做开发的朋友看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxI-gPDdCeEyCjMzT4DCaIcBzsFSMy_J0gV1H3d8bqg","2026/07/26","11.88%","18.21秒",1507,10,30,0,60,16,60,0,0,0,,,,
"80 多人团队，三个月，人均产出翻倍，AI 代码占比七成六。3 分钟 30 张图概览整套 AI 转型方法论，思想地基加六阶段落地，人是根本。转发给想用 AI 提效的朋友，合集 13 集每集深讲一个阶段。


1. 导读篇：3 分钟 30 张图概览整套方法论，三个数字（+104% / 76.6% / 80 人 3 个月）开场，一句话立意「人是根本」。合集入口。

2. E01 总纲：为什么 AI 提效转型，三个数字 + 一句话立意，整套方法论的起点。

3. E02 思想转变：AI 扩展谁的能力边界，两个极端别踩，思想地基先打牢。

4. E03 战略启动：目标量化 + 路线图 + 组织保障 + 风险预案，启动四件事缺一不可。

5. E04 全员赋能：选工具 + 全员培训到全覆盖 + 规范资产化，赋能三件事做到位。

6. E05 给 AI 装上眼睛和记忆：四件套基础设施，大代码库才需要，小团队可跳过。

7. E06 需求到交付一条命令：规范驱动 SDD 三产物 + 六阶段 devflow 编排，闭环的核心。

8. E07 防 AI 偷改测试：不让 AI 同时写代码和测试，全绿可能全错，质量防护。

9. E08 AI 代码占比怎么算：埋点 + 风格学 + 注册表三层识别，防伪造。

10. E09 Skill 范式整合：七种 Skill 范式各管一摊，写好关键在描述要具体。

11. E10 度量实操：跑 ai-metrics，真实团队的占比识别 + 成果数据怎么算。

12. E11 Skill 仓库实操：4 skill + 13 规范复制即用，组织资产怎么沉淀。

13. E12 汇报材料 AI 生成：5 类汇报 prompt + ppt-master 原生可编辑 PPT。

14. E13 AI 自动化测试实操：ai-test-frame 开箱跑，AI 只生成不执行根治虚假通过，合集收官。

","export/UzFfBgAAxJ2gDFVFIiaAjMzT4DCaiWs7HT2L_vOIGc74jw66ig","2026/07/25","1.24%","14.66秒",485,2,3,2,8,2,8,0,0,0,,,,
"AI 写测试最大的坑是虚假通过。跑通 ai-test-frame，AI 只生成不执行，运行期确定性执行，根治虚假通过。八个文件五个关键思想，通过两个失败零个。转发给做自动化测试的朋友，合集十三集收官。","export/UzFfBgAAxI6gJDMrdiKAjMzT4DCaoztri2Lzjlg-oWKKC0pO8g","2026/07/25","3.54%","28.90秒",396,3,4,0,8,3,8,0,0,0,,,,
"转型成果变成上级看得懂的 PPT 和报告。5 类汇报模板加 ppt-master，30 秒出活，原生可编辑。转发给正在做转型汇报的同事。

教程仓库（所有 demo clone 即跑）：Johnson-Jia/ai-landing-tutorial
本集对应：demos/report-templates（5 类汇报 prompt + ppt-master）

合集「AI 提效转型实战」共 13 集，播放列表见主页。上集 E11 讲 Skill 仓库实操（4 skill + 13 规范复制即用），下集 E13 讲 AI 自动化测试实操（ai-test-frame 录制转生成加软断言），点关注不走丢。
 

1. 五类汇报模板对应转型全周期：战略 PPT 立项要资源 → 计划书审批 → 周报跟踪 → 总结结项 → 度量证明提效。从立项到结项每一步都有对应模板。

2. 战略汇报 PPT 分两个版本，别用错阶段。启动版（阶段 1）靠现状痛点 + 目标承诺 + 试点计划立论，别编造翻倍这种验证数据——还没跑出来写了自己不信。成果版（阶段 5）才用实测数据。先确认你处于哪个阶段再选版本。

3. ppt-master 生成原生可编辑 PPT 是关键。DrawingML 结构，每个形状 / 文本框 / 图表 / 动画都是独立可编辑元素，PowerPoint 里能改每个细节。不是图片式 PPT 整张图不能改。开源一万六千星。

4. 5 分钟最小可走通：手头没真实数据也能先跑通。占位数据填进去（交付周期 28 天想压到 21 天之类），粘到免费 AI（Kimi / 通义千问），30 秒出一份结构齐全的战略汇报。先跑通流程，再补真实数据。

5. prompt 是资产，不绑定工具。这五个 prompt 包可以独立交付，换 AI 工具照样用，不绑定 Claude / ChatGPT / GLM 任何一个。","export/UzFfBgAAxJegHDgvCC-AjMzT4DCaNUhLl7r9xbFJmLqfHbVshg","2026/07/25","2.54%","11.37秒",393,1,2,0,10,0,10,0,0,0,,,,
"7月25日GitHub涨星最猛的5个项目
浏览器登录态直接交给AI编程助手
TypeScript大佬开源天天用的agent技能包
自托管建站连AI agent都能参与
AI自然语言查数据库连几十种
终端里好看的文件管理器
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxIagRGIhRymAjMzT4DCat5qfN3TPsSEsMtDVnjupew","2026/07/25","10.77%","20.19秒",1020,1,10,1,53,6,53,0,0,0,,,,
"7月24日 GitHub 涨星最猛的 6 个项目
Block 开源人机协作工作空间 AI 同房干活
本地语法检查不联网
Rust 重写 Minecraft 服务器
代码自动画架构图
文字直接生成三维模型
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技
","export/UzFfBgAAxLegdHZfb2aBjMzT4DCa-HciogrQ52tMjwmZNbxvAw","2026/07/24","9.74%","11.70秒",585,1,4,0,23,7,23,0,0,0,,,,
"7月23日 GitHub 涨星最猛的 6 个项目
开源 AI 网关一个接口接住 268 家服务商
全球情报仪表板涨幅再翻倍
一套 Rust 代码跑通三端
让大模型按格式输出
Linux 动态平铺桌面
免费临时域名邮箱能收发带附件
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技
","export/UzFfBgAAxLegCAADY0-GjMzT4DCamFvFU87THEQ6_lIlxgfK9w","2026/07/23","-","0",0,0,0,0,0,0,0,0,0,0,,,,
"7月22日 GitHub 涨星最猛的 6 个项目
国内技术作者 AI Agent 书单日涨四千四百多星
给注意力分散开发者的编程技能
阿波罗十一号登月源码今天还在维护
全球情报仪表板一个界面看全球
安全传文件工具 croc
代码知识图谱 code-review-graph
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxL-gTGRsSTeEjMzT4DCaGbT8NkKJtLuQHZV6gageGA","2026/07/22","8.61%","17.94秒",836,4,9,0,28,7,28,0,0,0,,,,
"Kimi K3 两万八千亿参数开源。
编程榜 SWE-bench 九十三点四，独立验证。
API 价格只有闭源那家三分之一。
台积电当天跌百分之七。
开源还是闭源，格局变了。
转发给关注 AI 的朋友看看。

#AI大模型 #开源 #KimiK3 #人工智能 #科技","export/UzFfBgAAxJ2gVBM-NQaFjMzT4DCaBJHoBPP6zqaPzY4IcwOhKQ","2026/07/21","11.25%","20.12秒",551,0,2,2,2,3,2,0,0,0,,,,
"今天GitHub榜单跨圈了。

oblien/openship自托管部署平台Docker一拉就能跑，今日涨1719颗星；every-app/open-seo开源SEO分析工具免费查关键词流量，今日涨983；jamiepine/voicebox开源AI语音工作室能克隆声音、听写、创作语音，44.1K星今日涨839；微软官方的Ontology-Playground本体学习工具可视化设计知识图谱，今日涨487；开发者向两个jcode智能编程智能体框架今日涨612，霸榜code-review-graph又涨1876。

跨圈这6个项目，转发给做开发的朋友一起看看。

#GitHub #开源 #程序员 #科技 #编程 ","export/UzFfBgAAxLOgLCVoeR2FjMzT4DCaX__cQCVi6PqMdeOUGL43zw","2026/07/21","11.34%","18.81秒",2213,14,14,4,117,15,117,0,0,0,,,,
"第30周 GitHub 涨星王 OpenCut 单周破万星。
12 个项目跨创作、技能、AI 编程、AI 应用、AI 垂直五大领域。
OpenCut 开源视频剪辑工具，hallmark 去 AI 味设计技能。
openai/codex 终端编程，OfficeCLI 专为 AI 做的 Office 套件。
转发给做开发的朋友，下周一起看新榜单。

#GitHub热门 #开源 #程序员 #科技 #开源工具","export/UzFfBgAAxKSgDFMYRHO6jMzT4DCa7Z2otUH-iY7LZHY2MbgHQA","2026/07/20","8.11%","19.83秒",592,3,10,0,12,9,12,0,0,0,,,,
"今天GitHub榜单有点东西。

airllm单张4GB显存跑70B大模型推理，开发者用脚投票23.3K星；lingbot-map从视频流前馈一次重建三维场景，12.9K星今日涨827；ibelick/ui-skills把设计和前端捏成设计工程师新角色；apache背书的ossie做语义元数据标准；ai-engineering-from-scratch 39.1K星从零学AI工程；build-your-own-x再涨1131星霸榜。

低显存、3D重建、跨圈新角色，今天这几个项目，转发给做开发的朋友一起看看。

#GitHub #开源 #程序员 #科技 #编程","export/UzFfBgAAxKegZGUZWlC7jMzT4DCaR4TWzcAYKmXYC7o8oVs_6Q","2026/07/19","8.30%","20.36秒",1204,4,11,4,50,6,50,0,0,0,,,,
"E09 讲了 Skill 范式的七种方法论，这集把范式落地——一组适配 Claude Code 的 skill 加 rule 仓库，4 个核心 skill 加 13 条团队规范，整个复制到自己项目就能跑。

核心设计：skill 按需调用，rule 始终生效，AI 自动遵守——团队经验从「个人会用」变成「组织默认能力」。

你将学到
- 4 核心 skill（覆盖编排 / 工具 / 审查三类）：
  - devflow（编排型）：需求到交付 6 阶段流水线，调 OpenSpec + Superpowers，断点续传 + 规则覆盖
  - sql-query（工具型）：PostgreSQL 只读查询，三模式 + 安全护栏（只 SELECT / 走 SSH 隧道 / 强制租户隔离）
  - crud-gen（工具型）：读表结构自动生成分层增删改查代码（domain → controller 一套）
  - code-review（编排型）：AI 审查 + 红黄绿三级分级 + 自动套 rule 规范
- 13 规范 5 层：入口 team-conventions（CLAUDE.md 用 @ 引用所有 rule，AI 自动加载）/ 接口层（api-response、service-dao）/ 质量层（error-handling、logging、testing）/ 数据层（database、batch）/ 并发层（async、distributed-lock）/ 工程层（git-branch、naming）

合集
「AI 提效转型实战」共 13 集。上集（E10）讲了度量实操（跑 ai-metrics 看 AI 占比），这集回到沉淀复用的实操——把 E09 的七种范式落地成一组拿来即用的资产。

教程仓库（所有 demo clone 即跑）：Johnson-Jia/ai-landing-tutorial
本集对应教程：stage6.html（沉淀与复用）+ demos/claude-skills（4 skill + 13 规范）

#AI转型 #程序员 #ClaudeCode #企业级 #研发提效 #Skill仓库 #规范资产化","export/UzFfBgAAxImgRB0ONSy5jMzT4DCakMTzRtIW8EXR164yjmRc6w","2026/07/18","1.44%","17.45秒",555,4,2,2,9,3,9,0,0,0,,,,
