"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面"
"GitHub今日热门6个项目速览：苹果官方容器工具（+1611星）、85K星的AI一键视频生成MoneyPrinterTurbo、22万星的Shell脚本AI Agent方法论superpowers、43.6K星的计算机视觉工具库supervision、3000站点的OSINT情报工具maigret、连续霸榜的AI跨平台研究工具last30days。本期重点：苹果亲自下场做容器工具，打破容器等于Docker的认知

#GitHub #开源 #AI #编程 #科技前沿 #开发者","export/UzFfBgAAxPOnTBgLVEPIjMzT4DCa4cUKyzLHAvdoly5L6ar0sg","2026/06/11","13.56%","22.53秒",5928,11,40,4,202,36,202,0,0,0
"今天 GitHub 榜单几乎被 AI 项目霸榜——自动调研、一键求职、AI 重构代码、产品经理也能用 AI 干活了。这不是未来，这是正在发生的事。

#GitHub #AI工具 #科技圈 #程序员日常","export/UzFfBgAAxOCnNHFkO3zJjMzT4DCaT9P4A6dPq9TfgJYnLzf0jw","2026/06/10","14.37%","21.72秒",4190,24,50,7,163,37,163,0,0,0
"转发给做开发的朋友，这个开源工具零成本打通社交平台和内容社区

#AI #开源 #程序员","export/UzFfBgAAxPKnEBh_AC_PjMzT4DCaRYjEHASFtl1KysjaPxatUw","2026/06/09","3.56%","24.68秒",731,1,9,2,17,4,17,0,0,0
"supervision：不懂CV算法也能做计算机视觉，42000星的项目把检测跟踪标注全打包了
Google出了个Agent技能库，给AI装上搜索和数据分析能力
career-ops五万星的AI求职系统，14种技能写简历准备面试一条龙
CopilotKit三万四千星，创造了AG-UI协议定义Agent怎么跟界面对话
转发给做开发的朋友看看

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxK-iEAFheGXPjMzT4DCa7j51TN0K1Q5xCcPDt_7cAg","2026/06/09","15.21%","22.45秒",1900,6,20,2,75,8,75,0,0,0
"从 Linus 写 Linux 到每一个提交 PR 的开发者，开源精神本质上是一种信仰。当星火汇聚，就能点燃整个草原。你关注这个频道，就已经是其中一簇星火了。你觉得开源精神最打动你的是什么？评论区告诉我#开源 #星火燎原 #GitHub星探 #知识分享","export/UzFfBgAAxKCiAFR7RWTPjMzT4DCaxK_JSrmbZtevvk9jT7ESYQ","2026/06/09","4.81%","16.70秒",644,1,9,2,3,6,3,0,0,0
"有个向量搜索引擎叫turbovec，比同类快20%，1000万条向量只占4G内存
微软新出的pg_durable更离谱，直接把PostgreSQL变成工作流引擎，不用再装Airflow
还有个47K星的全流程AI Agent叫goose，转发收藏不迷路

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxKiiQFtQZjnMjMzT4DCaFc8JLsKvMxMgHPZOKZc-NA","2026/06/08","10.72%","28.10秒",1745,5,18,2,48,9,48,0,0,0
"AI Agent 这周直接霸榜！
ECC 20万星，给AI装上技能和记忆
hermes-agent 18万星，越用越懂你的智能体
headroom 压缩AI输入95%，答案还不变！
taste-skill 专治AI平庸输出
markitdown 微软出品，文件全能转Markdown
MoneyPrinterTurbo AI一键出短视频
还有免费全网搜索、开源Notebook LM...

关注GitHub星探，每周带你刷榜！

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxISiTEA8P3_MjMzT4DCa-TBTtOLyhaRKh4LveUkguw","2026/06/08","9.71%","28.58秒",1946,11,27,21,84,13,84,0,0,0
"PaddleOCR不只是OCR工具，它是一个完整的文档AI引擎。能识别文字、解析表格、提取公式、看懂文档，甚至能和AI大模型对话。最新VL模型在权威评测拿了96.33%准确率，刷新SOTA。表格、公式、印章三合一全覆盖，开源领域独一无二。从浏览器到服务器，10种以上部署方式，MCP和LangChain生态集成最完整。全部开源Apache 2.0，CPU就能跑，pip install一行搞定。

关注GitHub星探，带你拆解更多好项目

#GitHub热门 #程序员 #开源 #AI #科技 #OCR #文档解析 #PaddleOCR","export/UzFfBgAAxNmhHDpgfhLNjMzT4DCaB-W5xB0tmqvwgbArWOWUuQ","2026/06/07","3.57%","24.27秒",5625,31,57,9,244,27,244,0,0,0
"先说superpowers，22万星技能框架，一天又涨千星
Agent-Reach更猛，零API费搜全网，昨天127星今天冲到700
还有career-ops用AI帮你找工作，14种模式一条龙

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxKOibBIifF_NjMzT4DCaIATjMePi1c5po2pzZ-5j5w","2026/06/07","13.84%","27.30秒",4759,30,63,1,218,46,218,0,0,0
"一个开源项目，28K 星标，能让你的电脑断网后变成完整的知识库——AI 聊天、百科全书、离线地图、在线课程，六个工具全部本地跑。零联网零遥测零依赖，18 年网络工程师做的。

#开源项目 #离线知识库 #Docker #断网生存 #程序员","export/UzFfBgAAxI6iLFg9QjjDjMzT4DCa0yQVim2YlIxHNnL6INqc8w","2026/06/06","6.61%","21.40秒",1634,6,19,2,58,6,58,0,0,0
"盘点 6 月 6 日 GitHub 热门项目，涨星最猛的 headroom 能压缩 AI 输入 95% token，答案不变；MiroFish 用群体智能做预测；mempalace 是跑分领先的开源 AI 记忆系统。还有 PaddleOCR 文档识别
#GitHub #程序员 #开源 #AI #科技","export/UzFfBgAAxKOiNCgEChXDjMzT4DCaf_q1XxBPEs9bcwoITeMBZQ","2026/06/06","9.96%","18.00秒",1947,9,20,2,50,9,50,0,0,0
"OpenTalking 把语音识别、大模型、TTS、数字人驱动、实时通信，5个模块串成一条流水线
51行代码的注册表，就能热插拔任意模型
6种数字人、4种部署模式，从0GPU到多卡调度全覆盖
42K行Python + 308行AI协作指南，同龄项目里罕见

关注GitHub星探，每天发现好项目

#GitHub #开源 #数字人 #AI #开源项目","export/UzFfBgAAxNGhQD9EdjfAjMzT4DCak7ubsLWfIfgK8NK7DFGuIQ","2026/06/05","7.30%","19.78秒",1466,4,13,2,47,4,47,0,0,0
"5个GitHub项目，有个工具把给AI的输入砍掉95%，答案一模一样

headroom 连续两天霸榜，单日涨星3142。给大模型减肥，token少给95%，干的活一点不少。

GitHub官方出品的spec-kit，10万星级别项目，说先写需求再写代码。
英伟达用游戏引擎教机器人走路，虚拟训练真实部署。
百度PaddleOCR，图片拖进去秒变数据，100多种语言免费用。


#GitHub热门 #开源 #AI #程序员 #科技","export/UzFfBgAAxNOhKCYoXWnAjMzT4DCa_8iuplInaZb4VPedU64IhA","2026/06/05","13.83%","24.37秒",6649,31,56,4,273,52,273,0,0,0
"把token砍掉95%，AI的回答居然一模一样！今天GitHub最火的项目headroom做到了。还有caveman让AI像穴居人说话省65%token，hermes-agent 18万星Agent来了，ECC又涨2000+冲到20万星。关注GitHub星探，每天带你看最火的开源项目。#GitHub #开源 #AI #token压缩 #hermes-agent #ECC #编程 #科技","export/UzFfBgAAxJiiFEViIQrBjMzT4DCaqxvBWsLfD3ACG2H4KNu0Zw","2026/06/04","7.48%","19.82秒",6431,34,53,9,227,32,227,0,0,0
"今天GitHub Trending出现一个20万星的怪物项目ECC，给AI编程工具装上四件套直接开挂。还有token压缩神器headroom、会成长的Agent——hermes，容器安全全家桶trivy等6个宝藏项目。#github #开源 #编程 #AI #程序员 #科技 #GitHub星探 #AI编程","export/UzFfBgAAxNahBHVkKU7BjMzT4DCappxT19SM23XI8gyN3XvLmQ","2026/06/04","11.67%","25.41秒",21291,105,233,12,1162,212,1162,0,0,0
"一个号称""AI实时姿态估计""的开源项目，狂揽54000 Star、94.2%的好评率，结果全靠刷！Python版本代码是精心设计的骗局，Rust版本号称重写实则继续造假，连安全评级都是F级！今天带你彻底揭开RuView的真面目，教你如何识别虚假开源项目，别再被GitHub上的虚假数据骗了！#开源安全 #GitHub #技术揭秘 #编程 #网络安全","export/UzFfBgAAxJ6iFBdnIUrBjMzT4DCaSiZ06EykJcewugslld_Lrw","2026/06/04","2.58%","26.29秒",1509,6,13,1,16,5,16,0,0,0
"6个赛道帮你过滤了停更项目，只留活跃的：🎨 AI绘画 → ComfyUI（11.5万星，每日更新）🎤 语音克隆 → GPT-SoVITS（一分钟克隆声音）🎭 虚拟主播 → Open-LLM-VTuber（完全本地运行）🎮 游戏工具 → BetterGI（CV驱动，安全）📺 追番 → Auto_Bangumi + Suwayomi + Bangumi从零门槛到深度玩家，四级入门路径全部开源免费。收藏这篇，慢慢研究。#开源工具 #AI绘画 #二次元 #语音克隆 #程序员必备","export/UzFfBgAAxJ2iQHVGGkLGjMzT4DCaqjobJJbpE3fPdvLfYHph1Q","2026/06/03","2.05%","26.77秒",1365,2,9,2,34,4,34,0,0,0
"给AI输入瘦身95%答案还不变
20万星编程Agent系统给AI加肌肉记忆
微软markitdown连续霸榜又涨3600星
还有把AI Agent搬手机上的、用图谱做安全调查的、不用分词器做语音克隆的
关注我每天看GitHub热门

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxNehDEwuZzfHjMzT4DCakhbHkNySLnaDQKZoq97KTQ","2026/06/03","13.98%","22.91秒",5499,21,49,4,201,48,201,0,0,0
"40多个AI项目同时涌入游戏开发，从写代码到搭关卡到美术生成，全部被AI接管了。最炸裂的不是某个工具多强，而是MCP协议让AI和Unity、Unreal直接对话——Agent从补代码进化到搭建完整关卡。六个赛道：自主游戏引擎、MCP协议桥接、Claude Studios全流程工作室、AI美术管线、商业化变现、还有本地大模型驱动的单机方案。每个赛道都有开源项目可以今天就用。5分钟讲透整个AI游戏开发生态，收藏备用慢慢看。#AI游戏开发 #游戏开发 #AI工具 #独立游戏 #科技前沿","export/UzFfBgAAxNahJFATKSvEjMzT4DCat8Wl5BKderNrB4bWCRJ6Mw","2026/06/02","1.69%","18.95秒",825,6,6,1,16,4,16,0,0,0
"5个项目单日最高涨3375星，3个新面孔首次上榜！AI短视频工具MoneyPrinterTurbo连爆两天，今天又涨3375星，文案配音画面字幕一条龙全开源Scrapling反爬框架日增翻倍到1486星，网站越封它越能爬impeccable首次上榜就带着32K星，发现AI的短板不是智商是审美oh-my-pi终端编程Agent，哈希锚定编辑+内置LSP浏览器heretic用数学方法解开大模型审查，让你看到AI真正知道什么关注我，每天带你刷GitHub热门项目#GitHub #AI编程 #开源项目 #程序员 #科技资讯","export/UzFfBgAAxNGhVDZyKQ_EjMzT4DCazvmkN3aTMlhZRsRWn7szKw","2026/06/02","17.43%","30.45秒",1152,3,14,5,39,2,39,0,0,0
"本周GitHub被AI Agent技能刷屏了！14个项目、4个领域，一个20万星的Agent优化系统领跑全场

技能生态最猛：ECC直接20万星，Agent性能拉满。微软markitdown 13.5万星，任何文件一键变Markdown。还有让AI有审美观的taste-skill、754个网络安全技能映射五大框架

Rust正在吃掉基建层，语音AI开源替代Vapi，微软出手做了Agent治理工具包

关注GitHub星探，每周带你扫一遍最热开源项目

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxK-iJH5iOnnFjMzT4DCaGdgQ9yCsWsLZpJuCLQqaEQ","2026/06/01","9.52%","20.39秒",7137,41,54,4,270,40,270,0,0,0
"6月1日GitHub涨星榜出炉，6个项目单日狂揽上万星。微软的Markitdown一天涨2759星，总星134K——任何文件一键变Markdown，不是编辑器是转换器。MoneyPrinterTurbo 74K星，文字直接出视频配字幕全搞定。VoxCPM跳过分词器做语音合成，还能克隆你的声音。从零训大模型的教程也有，跟着Notebook走一遍就行。

#GitHub #开源项目 #AI工具 #程序员 #科技","export/UzFfBgAAxKqiCH0nFnvFjMzT4DCacgHoPRvfhCOCaFjvBJBcRw","2026/06/01","17.88%","19.58秒",2231,16,21,2,65,8,65,0,0,0
"一行文字输入，9个阶段自动管线，30多条规则引擎约束，AI驱动的视频锻造炉。从痛点到架构，从规则引擎到三层视觉系统，完整拆解 ClipForge 如何把视频制作从4小时压缩到全自动。GitHub 搜索 video-clipforge 即可找到项目。#AI视频 #自动化 #开源项目 #ClipForge #AI工具 #短视频制作 #开发者 #程序员的浪漫 #效率工具 #AI","export/UzFfBgAAxK2iZA14eXrFjMzT4DCape-iVd26-kOvvt31tX7tLA","2026/06/01","6.05%","25.88秒",727,4,7,2,20,3,20,0,0,0
"6个开源项目一次看完：🏠 WiFi信号当雷达用，不用摄像头📄 微软的万能文件转Markdown工具⚡ Rust写的极速文档解析器🎙️ 清华团队：不用tokenizer做语音克隆🤖 20万星Agent性能优化系统🎬 AI视频生成工具连续霸榜收藏这条，下次需要的时候直接翻出来用！#GitHub #开源项目 #AI工具 #程序员必备 #科技好物 #Rust #收藏备用","export/UzFfBgAAxIWiUDMgY0z6jMzT4DCaYgZosMYDOxLAo_8yTGQJtA","2026/05/31","10.89%","19.98秒",1038,6,11,4,32,8,32,0,0,0
"95% 的企业 AI 项目零 ROI，但 74% 的高管说首年就回本了。到底谁在说谎？40+ 数据源、5 个维度、8.9 分钟，带你扒开 AI Agent 商业价值的真相：1. 英伟达 $2159 亿营收的真相2. OpenAI 为什么一边赚钱一边亏钱3. 三个已经赚钱的 Agent 场景4. 三条可行的变现路径5. 四个必须避开的坑关键不是你有没有铲子，而是你知不知道去哪挖。#人工智能 #商业价值 #创业 #科技趋势 #AI变现","export/UzFfBgAAxJuiZCpxOkn7jMzT4DCaYqxbnuhpec0SPCY1N1jKDg","2026/05/30","4.17%","41.65秒",886,5,4,0,8,3,8,0,0,0
"5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。

ECC，给AI编程助手加了记忆和本能反应，装上之后从实习生变高级工程师。198K总星，今天涨了1400多。

liteparse，LlamaIndex用Rust写的文档解析器，PDF、Word、Excel全能解析，速度碾压Python同类。第一天上榜就700多星。

Claude Code自己也上榜了，AI用自然语言帮你写代码管Git，128K总星。

MoneyPrinterTurbo还在涨，今天又加了3500多星。taste-skill也继续涨了2000多。

关注我，每天发现最新开源好项目。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxNWhbAxnLTr4jMzT4DCaO4JMyNqfZpVeGakuXRhJ6A","2026/05/30","14.82%","23.67秒",19326,67,178,8,756,362,756,0,0,0
"AI一键生成短视频，结果自己先火了🔥MoneyPrinterTurbo 单日涨了近5000星，做视频的项目被做成了视频。Understand-Anything 让代码变成可交互的知识图谱，42K Star。taste-skill 专门治AI千篇一律的毛病，26K Star。English-level-up-tips 离谱的英语学习指南，48K Star。微软 markitdown 任何文件秒变Markdown，127K Star。twenty 开源版Salesforce，用爱发电打败用钱发电。在 GitHub 搜项目名就能找到。","export/UzFfBgAAxJqiOGJfRhv5jMzT4DCaWYDBYjQKHxx2dq08Mr_NIg","2026/05/29","9.13%","23.38秒",10315,58,165,7,709,154,709,0,0,0
"企业培训行业正在被AI彻底重构，收藏这篇深度分析备用。$4175亿市场中，AI培训年增速21.7%，内容生产效率提升500%，个性化学习保留率提高30%。5大维度全面拆解：内容革命、学习模式转变、个性化体验、AI教练、数据评估。企业具体该怎么落地？三步走框架讲清楚。#AI #企业培训 #人工智能 #职场成长 #学习笔记","export/UzFfBgAAxNGhTD89Pwv-jMzT4DCaCyP0cARLaTjSIJdT00Nb7Q","2026/05/28","1.44%","22.21秒",832,4,1,0,7,2,7,0,0,0
"号称国产第一进全球前三，实测翻车了

我们上百号研发用了三个月智谱GLM，全员AI提效跑通了。结果Qwen3.7号称全球前三，还送80亿tokens，大家就切过去试了。

试了才发现：让AI装个工具包，GLM先查文档给方案，Qwen跑了半天说不知道这是啥。更狠的是4组对照实验，GLM做出32分，Qwen只有21分。差距最大的是视觉能力，GLM能做6种特效加角色动画，Qwen连个动效都没有。

选大模型别看排名看实战，代码面前可不配合你演戏。
#大模型对比 #GLM #智谱 #qwen3.7-max #国产大模型","export/UzFfBgAAxKyiSDJcQGn-jMzT4DCaH5z_8-bH5DYyN3fCDE2nJA","2026/05/28","19.82%","31.19秒",28015,37,106,110,173,100,173,0,0,0
"单日+4466星霸榜，6个GitHub热门项目一次看完，AI占了一半

关注GitHub星探，每天刷开源

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxN-hQCA3Mlb-jMzT4DCallAhrWESGjKxSynAGJ1MLQ","2026/05/28","14.59%","21.76秒",22628,99,222,14,1024,491,1024,0,0,0
"Anthropic 的 Claude Code 在 npm 发包时忘了删 source map，51万行 TypeScript 源码全部暴露。

1987个文件，53个工具，7个隐藏功能，三层门控体系——这不是一个简单的终端补全工具，而是一个精心设计的 Agent 编排系统。

从 BUDDY 终端宠物到 KAIROS 持久助手，从 ULTRAPLAN 云端规划到编译开关精简版，这 51 万行代码揭示了 AI 编程助手的真正护城河：不是模型，是编排层。

#ClaudeCode #Anthropic #AI编程 #源码泄露 #Agent #TypeScript #MCP","export/UzFfBgAAxNChDHdifEX_jMzT4DCarOBEmYpYzvn97PXmphAkrg","2026/05/27","8.54%","14.57秒",1334,4,8,5,10,0,10,0,0,0
"注意了，今天 GitHub 有个项目把域名注册做成了免费
另一个项目给 AI 加了长期记忆，关掉对话下次还记得
这些信息差你错过了可能要等很久

你知道哪些服务本来收费结果被开源干掉了吗？评论区说说

#GitHub #开源项目 #程序员 #AI #科技圈","export/UzFfBgAAxKeiGHMDbT38jMzT4DCaEyAl0_rx-4BIbOhkfywIxA","2026/05/27","15.15%","21.34秒",10670,55,103,16,438,168,438,0,0,0
"6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定但综合推荐CodeGraph，它有个独门绝技叫动态分派合成，静态分析也能追踪React的setState和Vue的事件绑定，零外部依赖，工具调用减少71%关注我，获取更多开源项目深度分析#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxI-iVCkPLST9jMzT4DCa3VukGVNq7mFaQa_b0cdzWw","2026/05/26","15.70%","23.95秒",5463,15,56,8,209,25,209,0,0,0
"今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星

一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品味，消灭千篇一律的AI输出

gstack更夸张，YC总裁的AI编程配置，23个AI角色分别扮演CEO、设计师、QA，一个人就是一整个开发团队

从零学AI工程的项目单日涨星三千多，Fork数跟涨星持平，真有人在跟着学

感兴趣的可以看看

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxI-iWD8FRxj9jMzT4DCabW_VMRKpMRh3opLCvcuouA","2026/05/26","7.98%","18.93秒",19715,98,184,10,1022,221,1022,0,0,0
"今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码库。cmux 一个终端管所有 AI 代理，完成了自动弹通知。Kronos 专门为金融训练的语言模型，从底层理解行情语言。MiroFish 六万星的群体智能引擎，一群 AI 像鱼群一样协作预测。感兴趣的可以看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxJuibBljRAbyjMzT4DCaL_UvA2aM5w5-mBCtK8ynPA","2026/05/25","15.64%","23.59秒",5427,23,58,4,227,58,227,0,0,0
"本周 GitHub 最火的开源项目盘点！编程 Agent 赛道最卷 — codegraph 代码知识图谱、agentmemory 持久记忆、oh-my-pi 终端 Agent、orca 并行舰队、Cursor 开放插件生态技能框架同步爆发 — superpowers 星标突破 20 万！学习赛道持续火热 — AI 工程从零到一、vibe coding 零基础入门创新应用百花齐放 — WiFi 信号空间感知、端侧多语言 TTS、反爬全通过关键词：Agent、技能框架、端侧 AI#GitHub #开源 #Agent #AI #编程 #科技","export/UzFfBgAAxKWibH89VmvyjMzT4DCad9D9yIWQnP212gexrtMAIw","2026/05/25","8.34%","21.93秒",3669,18,37,10,148,23,148,0,0,0
"AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 TokenUnderstand-Anything 把代码变成可交互地图，对着代码直接提问想看更多开源好项目，关注就对了#GitHub热门 #开源 #程序员 #AI #科技","export/UzFfBgAAxI2iMAwgcyDwjMzT4DCaaVsZ1b_Aa6KKdVjJQ_nZ2g","2026/05/24","11.43%","25.44秒",12414,76,134,14,551,125,551,0,0,0
"注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。投资机构红杉都发了专门论点，一季度AI创业公司拿了2400亿风投。最值得关注的方向是AI代理记账，299一个月包月，市场规模几千亿。不是在软件市场抢蛋糕，是在服务市场开新局。你觉得AI能取代代账公司吗？评论区聊聊#AI #创业机会 #代理记账 #数字化转型 #商业分析","export/UzFfBgAAxKGiCGERSUzwjMzT4DCao8sY1b4VyMMNUsHaXABAtA","2026/05/23","0.57%","20.12秒",698,1,1,0,5,1,5,0,0,0
"今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目。还有个更离谱的，RuView 用你家 WiFi 路由器就能感知房间里有没有人，完全不需要摄像头，6 万 4 千星。关注 GitHub 星探，每天更新热门项目。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxIeiZC4HGznxjMzT4DCanK8ytQdPZ_OPqYgNIJQBYA","2026/05/23","13.27%","21.23秒",22642,115,220,6,916,332,916,0,0,0
"注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么你觉得补贴退了谁先撑不住？评论区聊聊#外卖大战 #京东外卖 #美团 #互联网 #商业分析","export/UzFfBgAAxNKhbHlUa0XxjMzT4DCaa5ugZsoMBaCwDJZBOKVmVA","2026/05/23","1.14%","25.15秒",701,7,0,0,2,2,2,0,0,0
"你还在手动剪辑短视频？别人已经用代码自动化了！
HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者
三个项目三种路线，搜项目名就能找到

#编程 #开源项目 #科技 #效率工具","export/UzFfBgAAxNGhADwNdTX2jMzT4DCacZD-GfwAIt8M9zpQrSC1pA","2026/05/22","11.77%","16.87秒",1198,12,17,0,53,14,53,0,0,0
"10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考、怎么做事。中文版新增50个原创角色，抖音运营、高考志愿、养殖审核，中国独有场景全覆盖。开源免费，值得试试。关注获取更多好项目。#AI #智能体 #GitHub #开源 #程序员","export/UzFfBgAAxK2ifGEcTx_2jMzT4DCaqMIKpfYtURaynsBCEjuwDA","2026/05/22","6.96%","19.42秒",4109,17,44,12,215,30,215,0,0,0
"五个新项目同时杀入热榜！Skills生态彻底炸了 🔥

今天GitHub热榜被Skills生态刷屏了，5个新项目同时冲上来：

1️⃣ karpathy-skills — AI大神编程心得，14万星，把编码陷阱做成检查清单
2️⃣ research-skills — 学术研究全流程自动化，文献到论文一条龙
3️⃣ codegraph — 知识图谱方向持续火爆，总星破万，单日+4294
4️⃣ CLI-Anything — 让桌面软件变Agent原生，39K星
5️⃣ notebooklm-py — 播客生成能力，连网页端没有的功能都能调
6️⃣ streambert — 跨平台流媒体桌面应用，零广告零追踪

Skills生态这是要起飞的节奏！
#GitHub #AI #Skills #科技 #程序员 ","export/UzFfBgAAxI6iMAhYFWL2jMzT4DCat-Hit8aSO5hhuYN-rBjmdQ","2026/05/22","11.62%","22.68秒",12011,61,119,11,526,118,526,0,0,0
