"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面"
"6月13日 GitHub 盘点：Apple 容器+3513星、PowerToys效率工具、LMCache推理加速等6项目
今天 6 个项目从容器到效率工具到推理加速，开源正在把专业能力送到每个人手上。三连支持一下，下期见

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxISnMC8HWAXKjMzT4DCaMbxewzyCWF3PT5hRvIKRtA","2026/06/13","9.80%","26.08秒",2224,6,20,3,44,11,44,0,0,0
"这条视频，人类没有参与。🔥
它是一个开源工具——ClipForge，从文字到画面，自动锻造出来的。

9道工序连成流水线，65个组件搭出每一帧，4颗引擎之心盯紧每一步。
内容丢进去，成片走出来。

而它把这一切，都开源了。
开源不是交换，是把火种，递到下个人手里。

一个人写下工具，帮几十个人；几十个人分享，就点燃几百个灵感。
当分享成为习惯，进步不是加法，是乘法。

星火，可以燎原。
照亮每一个想表达的人。

而你，就是那颗最新的星 ✨
觉得有意思，转发给同样好奇开源的朋友，让火种传得更远。

#开源 #程序员 #GitHub #星火燎原 #科技","export/UzFfBgAAxOqnMCN0YTPLjMzT4DCak7WIPf2oz5iRmHuzP-NG1A","2026/06/12","8.77%","22.47秒",832,3,4,2,25,6,25,0,0,0
"人力导师一小时100-500块，AI一次2分钱，差2.5万倍，哈佛实验效果还翻倍
Byju's 220亿归零，Coursera蒸发92%，死亡公式凑齐就完蛋
但Unilever省百万英镑，PwC投10亿，IBM要训200万人
新打法：嵌入工作流，按效果收费不按席位

转给做培训的朋友，这个赛道正在洗牌

#企业AI #AI培训 #商业分析 #人工智能","export/UzFfBgAAxJSnBEgzHxPLjMzT4DCahGYPha5x5ivak4yN3nSn-g","2026/06/12","2.43%","22.44秒",659,0,5,0,3,0,3,0,0,0
"转发给做开发的朋友！苹果官方出容器工具了，三万两千星。AI 技能生态今天大爆发，agent-skills 单日涨三千多星，superpowers 已经二十二万星。连 PM 工作流都被拆成一百多个可调用技能了。","export/UzFfBgAAxP-nfFJubGzLjMzT4DCaxgZFjyfLbusKurndbHLd-g","2026/06/12","8.98%","18.21秒",4943,11,46,6,107,31,107,0,0,0
"GitHub今日热门6个项目速览：苹果官方容器工具（+1611星）、85K星的AI一键视频生成MoneyPrinterTurbo、22万星的Shell脚本AI Agent方法论superpowers、43.6K星的计算机视觉工具库supervision、3000站点的OSINT情报工具maigret、连续霸榜的AI跨平台研究工具last30days。本期重点：苹果亲自下场做容器工具，打破容器等于Docker的认知

#GitHub #开源 #AI #编程 #科技前沿 #开发者","export/UzFfBgAAxPOnTBgLVEPIjMzT4DCa4cUKyzLHAvdoly5L6ar0sg","2026/06/11","13.31%","22.22秒",6471,12,43,4,213,38,213,0,0,0
"今天 GitHub 榜单几乎被 AI 项目霸榜——自动调研、一键求职、AI 重构代码、产品经理也能用 AI 干活了。这不是未来，这是正在发生的事。

#GitHub #AI工具 #科技圈 #程序员日常","export/UzFfBgAAxOCnNHFkO3zJjMzT4DCaT9P4A6dPq9TfgJYnLzf0jw","2026/06/10","15.39%","22.53秒",4958,27,61,7,191,58,191,0,0,0
"转发给做开发的朋友，这个开源工具零成本打通社交平台和内容社区

#AI #开源 #程序员","export/UzFfBgAAxPKnEBh_AC_PjMzT4DCaRYjEHASFtl1KysjaPxatUw","2026/06/09","4.00%","25.21秒",775,1,9,2,17,4,17,0,0,0
"supervision：不懂CV算法也能做计算机视觉，42000星的项目把检测跟踪标注全打包了
Google出了个Agent技能库，给AI装上搜索和数据分析能力
career-ops五万星的AI求职系统，14种技能写简历准备面试一条龙
CopilotKit三万四千星，创造了AG-UI协议定义Agent怎么跟界面对话
转发给做开发的朋友看看

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxK-iEAFheGXPjMzT4DCa7j51TN0K1Q5xCcPDt_7cAg","2026/06/09","15.77%","23.14秒",2017,6,20,2,81,10,81,0,0,0
"从 Linus 写 Linux 到每一个提交 PR 的开发者，开源精神本质上是一种信仰。当星火汇聚，就能点燃整个草原。你关注这个频道，就已经是其中一簇星火了。你觉得开源精神最打动你的是什么？评论区告诉我#开源 #星火燎原 #GitHub星探 #知识分享","export/UzFfBgAAxKCiAFR7RWTPjMzT4DCaxK_JSrmbZtevvk9jT7ESYQ","2026/06/09","4.74%","18.96秒",780,2,13,2,6,8,6,0,0,0
"有个向量搜索引擎叫turbovec，比同类快20%，1000万条向量只占4G内存
微软新出的pg_durable更离谱，直接把PostgreSQL变成工作流引擎，不用再装Airflow
还有个47K星的全流程AI Agent叫goose，转发收藏不迷路

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxKiiQFtQZjnMjMzT4DCaFc8JLsKvMxMgHPZOKZc-NA","2026/06/08","10.87%","28.14秒",1813,5,18,2,51,9,51,0,0,0
"AI Agent 这周直接霸榜！
ECC 20万星，给AI装上技能和记忆
hermes-agent 18万星，越用越懂你的智能体
headroom 压缩AI输入95%，答案还不变！
taste-skill 专治AI平庸输出
markitdown 微软出品，文件全能转Markdown
MoneyPrinterTurbo AI一键出短视频
还有免费全网搜索、开源Notebook LM...

关注GitHub星探，每周带你刷榜！

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxISiTEA8P3_MjMzT4DCa-TBTtOLyhaRKh4LveUkguw","2026/06/08","10.15%","28.71秒",2107,11,30,23,87,14,87,0,0,0
"PaddleOCR不只是OCR工具，它是一个完整的文档AI引擎。能识别文字、解析表格、提取公式、看懂文档，甚至能和AI大模型对话。最新VL模型在权威评测拿了96.33%准确率，刷新SOTA。表格、公式、印章三合一全覆盖，开源领域独一无二。从浏览器到服务器，10种以上部署方式，MCP和LangChain生态集成最完整。全部开源Apache 2.0，CPU就能跑，pip install一行搞定。

关注GitHub星探，带你拆解更多好项目

#GitHub热门 #程序员 #开源 #AI #科技 #OCR #文档解析 #PaddleOCR","export/UzFfBgAAxNmhHDpgfhLNjMzT4DCaB-W5xB0tmqvwgbArWOWUuQ","2026/06/07","3.66%","24.89秒",6083,35,62,9,273,29,273,0,0,0
"先说superpowers，22万星技能框架，一天又涨千星
Agent-Reach更猛，零API费搜全网，昨天127星今天冲到700
还有career-ops用AI帮你找工作，14种模式一条龙

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxKOibBIifF_NjMzT4DCaIATjMePi1c5po2pzZ-5j5w","2026/06/07","14.23%","27.60秒",5093,32,69,1,228,48,228,0,0,0
"一个开源项目，28K 星标，能让你的电脑断网后变成完整的知识库——AI 聊天、百科全书、离线地图、在线课程，六个工具全部本地跑。零联网零遥测零依赖，18 年网络工程师做的。

#开源项目 #离线知识库 #Docker #断网生存 #程序员","export/UzFfBgAAxI6iLFg9QjjDjMzT4DCa0yQVim2YlIxHNnL6INqc8w","2026/06/06","6.92%","23.19秒",1691,6,19,2,60,6,60,0,0,0
"盘点 6 月 6 日 GitHub 热门项目，涨星最猛的 headroom 能压缩 AI 输入 95% token，答案不变；MiroFish 用群体智能做预测；mempalace 是跑分领先的开源 AI 记忆系统。还有 PaddleOCR 文档识别
#GitHub #程序员 #开源 #AI #科技","export/UzFfBgAAxKOiNCgEChXDjMzT4DCaf_q1XxBPEs9bcwoITeMBZQ","2026/06/06","10.38%","18.12秒",2003,9,21,2,55,10,55,0,0,0
"OpenTalking 把语音识别、大模型、TTS、数字人驱动、实时通信，5个模块串成一条流水线
51行代码的注册表，就能热插拔任意模型
6种数字人、4种部署模式，从0GPU到多卡调度全覆盖
42K行Python + 308行AI协作指南，同龄项目里罕见

关注GitHub星探，每天发现好项目

#GitHub #开源 #数字人 #AI #开源项目","export/UzFfBgAAxNGhQD9EdjfAjMzT4DCak7ubsLWfIfgK8NK7DFGuIQ","2026/06/05","7.79%","20.26秒",1515,4,13,2,52,6,52,0,0,0
"5个GitHub项目，有个工具把给AI的输入砍掉95%，答案一模一样

headroom 连续两天霸榜，单日涨星3142。给大模型减肥，token少给95%，干的活一点不少。

GitHub官方出品的spec-kit，10万星级别项目，说先写需求再写代码。
英伟达用游戏引擎教机器人走路，虚拟训练真实部署。
百度PaddleOCR，图片拖进去秒变数据，100多种语言免费用。


#GitHub热门 #开源 #AI #程序员 #科技","export/UzFfBgAAxNOhKCYoXWnAjMzT4DCa_8iuplInaZb4VPedU64IhA","2026/06/05","14.67%","25.19秒",7355,33,63,4,314,57,314,0,0,0
"把token砍掉95%，AI的回答居然一模一样！今天GitHub最火的项目headroom做到了。还有caveman让AI像穴居人说话省65%token，hermes-agent 18万星Agent来了，ECC又涨2000+冲到20万星。关注GitHub星探，每天带你看最火的开源项目。#GitHub #开源 #AI #token压缩 #hermes-agent #ECC #编程 #科技","export/UzFfBgAAxJiiFEViIQrBjMzT4DCaqxvBWsLfD3ACG2H4KNu0Zw","2026/06/04","7.56%","19.97秒",6469,35,55,9,232,33,232,0,0,0
"今天GitHub Trending出现一个20万星的怪物项目ECC，给AI编程工具装上四件套直接开挂。还有token压缩神器headroom、会成长的Agent——hermes，容器安全全家桶trivy等6个宝藏项目。#github #开源 #编程 #AI #程序员 #科技 #GitHub星探 #AI编程","export/UzFfBgAAxNahBHVkKU7BjMzT4DCappxT19SM23XI8gyN3XvLmQ","2026/06/04","12.18%","26.60秒",24709,126,278,15,1378,267,1378,0,0,0
"一个号称""AI实时姿态估计""的开源项目，狂揽54000 Star、94.2%的好评率，结果全靠刷！Python版本代码是精心设计的骗局，Rust版本号称重写实则继续造假，连安全评级都是F级！今天带你彻底揭开RuView的真面目，教你如何识别虚假开源项目，别再被GitHub上的虚假数据骗了！#开源安全 #GitHub #技术揭秘 #编程 #网络安全","export/UzFfBgAAxJ6iFBdnIUrBjMzT4DCaSiZ06EykJcewugslld_Lrw","2026/06/04","2.73%","26.57秒",1540,6,13,1,17,5,17,0,0,0
"6个赛道帮你过滤了停更项目，只留活跃的：🎨 AI绘画 → ComfyUI（11.5万星，每日更新）🎤 语音克隆 → GPT-SoVITS（一分钟克隆声音）🎭 虚拟主播 → Open-LLM-VTuber（完全本地运行）🎮 游戏工具 → BetterGI（CV驱动，安全）📺 追番 → Auto_Bangumi + Suwayomi + Bangumi从零门槛到深度玩家，四级入门路径全部开源免费。收藏这篇，慢慢研究。#开源工具 #AI绘画 #二次元 #语音克隆 #程序员必备","export/UzFfBgAAxJ2iQHVGGkLGjMzT4DCaqjobJJbpE3fPdvLfYHph1Q","2026/06/03","2.11%","26.74秒",1424,2,9,2,35,5,35,0,0,0
"给AI输入瘦身95%答案还不变
20万星编程Agent系统给AI加肌肉记忆
微软markitdown连续霸榜又涨3600星
还有把AI Agent搬手机上的、用图谱做安全调查的、不用分词器做语音克隆的
关注我每天看GitHub热门

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxNehDEwuZzfHjMzT4DCakhbHkNySLnaDQKZoq97KTQ","2026/06/03","14.60%","25.66秒",6193,26,55,4,237,51,237,0,0,0
"40多个AI项目同时涌入游戏开发，从写代码到搭关卡到美术生成，全部被AI接管了。最炸裂的不是某个工具多强，而是MCP协议让AI和Unity、Unreal直接对话——Agent从补代码进化到搭建完整关卡。六个赛道：自主游戏引擎、MCP协议桥接、Claude Studios全流程工作室、AI美术管线、商业化变现、还有本地大模型驱动的单机方案。每个赛道都有开源项目可以今天就用。5分钟讲透整个AI游戏开发生态，收藏备用慢慢看。#AI游戏开发 #游戏开发 #AI工具 #独立游戏 #科技前沿","export/UzFfBgAAxNahJFATKSvEjMzT4DCat8Wl5BKderNrB4bWCRJ6Mw","2026/06/02","1.89%","19.45秒",847,6,6,1,17,4,17,0,0,0
"5个项目单日最高涨3375星，3个新面孔首次上榜！AI短视频工具MoneyPrinterTurbo连爆两天，今天又涨3375星，文案配音画面字幕一条龙全开源Scrapling反爬框架日增翻倍到1486星，网站越封它越能爬impeccable首次上榜就带着32K星，发现AI的短板不是智商是审美oh-my-pi终端编程Agent，哈希锚定编辑+内置LSP浏览器heretic用数学方法解开大模型审查，让你看到AI真正知道什么关注我，每天带你刷GitHub热门项目#GitHub #AI编程 #开源项目 #程序员 #科技资讯","export/UzFfBgAAxNGhVDZyKQ_EjMzT4DCazvmkN3aTMlhZRsRWn7szKw","2026/06/02","17.66%","30.35秒",1177,3,14,5,39,2,39,0,0,0
"本周GitHub被AI Agent技能刷屏了！14个项目、4个领域，一个20万星的Agent优化系统领跑全场

技能生态最猛：ECC直接20万星，Agent性能拉满。微软markitdown 13.5万星，任何文件一键变Markdown。还有让AI有审美观的taste-skill、754个网络安全技能映射五大框架

Rust正在吃掉基建层，语音AI开源替代Vapi，微软出手做了Agent治理工具包

关注GitHub星探，每周带你扫一遍最热开源项目

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxK-iJH5iOnnFjMzT4DCaGdgQ9yCsWsLZpJuCLQqaEQ","2026/06/01","9.68%","20.40秒",7798,46,61,5,299,44,299,0,0,0
"6月1日GitHub涨星榜出炉，6个项目单日狂揽上万星。微软的Markitdown一天涨2759星，总星134K——任何文件一键变Markdown，不是编辑器是转换器。MoneyPrinterTurbo 74K星，文字直接出视频配字幕全搞定。VoxCPM跳过分词器做语音合成，还能克隆你的声音。从零训大模型的教程也有，跟着Notebook走一遍就行。

#GitHub #开源项目 #AI工具 #程序员 #科技","export/UzFfBgAAxKqiCH0nFnvFjMzT4DCacgHoPRvfhCOCaFjvBJBcRw","2026/06/01","17.93%","19.53秒",2263,16,21,2,65,8,65,0,0,0
