视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码,2026年05月25日 19:25:26,236,86.3%,8.5%,4.1星,4.8星,3.9星,36.8%,40%,36.3%,5.2%,0%,6.3%,5,2.6%,0,3,1.3%,0,0%,0,0%,6,2.5%,0,0%,3,1.3%,57.6%
本周 GitHub 17 个最火开源项目，全被 Agent 统治了,2026年05月25日 13:06:04,827,94%,13.8%,4.1星,4.1星,4.1星,45.1%,36.5%,45.7%,11.7%,6.8%,12.4%,34,5%,0,28,3.4%,0,0%,0,0%,54,6.5%,0,0%,11,1.3%,51.8%
AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 Token,2026年05月24日 10:27:37,141,91.7%,3.6%,4星,3.8星,4星,39.6%,28.6%,40.8%,3.6%,0%,3.3%,4,3.3%,0,1,0.7%,0,0%,0,0%,3,2.1%,0,0%,1,0.7%,50.9%
10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考,2026年05月22日 13:28:39,169,79.4%,7.2%,4.8星,4.7星,4.8星,25.2%,22.2%,25.9%,24.1%,15.4%,29.7%,3,3%,0,7,4.1%,0,0%,0,0%,26,15.4%,1,0.6%,7,4.1%,47.7%
你还在手动剪辑短视频？别人已经用代码自动化了！HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者,2026年05月22日 19:35:23,122,89.6%,3.6%,3.9星,4.3星,3.8星,46.7%,38.5%,47.7%,13.3%,25%,9.6%,0,0%,0,5,4.1%,0,0%,0,0%,8,6.6%,2,1.6%,1,0.8%,61.6%
注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么,2026年05月23日 02:28:57,48,93.2%,1%,2.4星,2星,2.6星,26.7%,33.3%,25.6%,12.5%,0%,14.3%,0,0%,0,5,10.4%,0,0%,0,0%,1,2.1%,0,0%,0,0%,30.1%
今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目,2026年05月23日 12:33:55,151,89.6%,3.6%,4.3星,4星,4.4星,36%,18.8%,38%,4.7%,0%,5.4%,0,0%,0,2,1.3%,0,0%,0,0%,6,4%,0,0%,0,0%,56.7%
注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。,2026年05月23日 19:43:28,43,73.7%,3.3%,3.8星,4.2星,3.7星,30.2%,35.7%,27.6%,7.1%,0%,10.7%,0,0%,0,2,4.7%,0,0%,0,0%,0,0%,0,0%,1,2.3%,17.3%
注意了！一个估值50亿美元的AI平台，收紧审核后一周流失40%用户与此同时，开源替代品爆发式增长，一个项目Star从2万飙到13.7万这说明什么？情绪陪伴,2026年05月21日 20:44:03,139,93.4%,2.9%,2.7星,2.7星,2.8星,43.5%,30%,44.4%,1.5%,11.1%,0.8%,0,0%,0,1,0.7%,0,0%,0,0%,1,0.7%,0,0%,0,0%,21.7%
一对一辅导一小时八百块！如果AI把这个成本降到接近零呢？全球AI教育市场增速40.9%中国市场2027年突破2500亿！三个开源项目+三条商业化路径全拆解,2026年05月21日 15:30:04,140,92.8%,2.9%,2.1星,2星,2.3星,63%,26.7%,67.2%,2.1%,10%,2.3%,0,0%,0,2,1.4%,0,0%,0,0%,1,0.7%,0,0%,0,0%,23.8%
今天四个新项目同时杀入GitHub热榜openhuman三天暴涨两万星，今天又涨了三千多codegraph总星正式破万，代码知识图谱越来越火,2026年05月21日 12:46:43,232,90.2%,6.6%,3.6星,4.2星,3.7星,41.4%,27.3%,42.9%,7.9%,4.5%,8.3%,5,2.5%,0,4,1.7%,0,0%,0,0%,11,4.7%,0,0%,3,1.3%,64.3%
49万亿的市场，3亿老人等着被服务，大厂居然集体缺席。中国60岁以上人口突破3亿，到2050年银发经济规模逼近50万亿。但这个市场几乎没人认真做,2026年05月20日 21:21:31,42,92.7%,1%,3星,2星,3.2星,14.6%,20%,13.9%,30.9%,33.3%,28.2%,0,0%,0,9,21.4%,0,0%,0,0%,3,7.1%,0,0%,1,2.4%,36.5%
三个月两万星！这个开源项目直接炸了一个能记住你、理解你、还能替你开会的AI助手18个专业Agent协同工作，118个第三方集成消息聚合20+渠道,2026年05月20日 14:56:16,162,89.2%,4.9%,4.7星,4.8星,4.5星,47.4%,35.3%,48.9%,12.6%,0%,15.6%,1,0.8%,0,7,4.3%,0,0%,0,0%,11,6.8%,2,1.2%,1,0.6%,42.1%
一条命令就能让AI直接操控你桌面上的软件？这个36K Star的项目CLI-Anything，来自港大数据科学团队，能把Blender、GIMP,2026年05月18日 15:36:22,155,87.4%,6.2%,2.8星,2星,3星,50.3%,57.1%,49.3%,9.9%,21.1%,10.5%,1,0.8%,0,6,3.9%,0,0%,0,0%,6,3.9%,0,0%,3,1.9%,53%
今天 GitHub 涨星最猛的 6 个项目，AI 相关的占了一半！一个 Rust 写的个人 AI 大脑，一天涨近四千星,2026年05月19日 15:42:04,268,90%,7.5%,3.1星,3.2星,3.2星,42.2%,22.2%,44.6%,11.2%,13%,11.2%,3,1.4%,0,12,4.5%,0,0%,0,0%,15,5.6%,0,0%,3,1.1%,61.1%
注意了，垂直AI智能体市场正在爆发2026年全球市场规模140亿美元，到2031年预计涨到340-495亿关键是大语言模型让搭建成本降低了,2026年05月19日 17:17:58,132,97.7%,1%,2星,2星,2星,59%,50%,59.4%,4.6%,0%,4.7%,0,0%,0,5,3.8%,0,0%,0,0%,1,0.8%,0,0%,0,0%,16.5%
注意了，今天GitHub榜单有个信号：前8名有6个是AI智能体项目。openhuman一天近四千星，andrej-karpathy-skills近十四万总星。,2026年05月20日 13:01:32,529,94%,9.8%,4.5星,4.6星,4.4星,48.4%,43.8%,48.7%,10.2%,0%,10.9%,11,2.4%,0,12,2.3%,2,0.4%,0,0%,28,5.3%,2,0.4%,13,2.5%,60.9%
做PPT还在手动排版？5个AI开源项目帮你全自动生成，五轮淘汰赛帮你选出最好用的,2026年05月20日 14:15:23,321,95.2%,4.6%,4.1星,3.9星,4.1星,39%,31.3%,39.4%,10.1%,6.7%,10.5%,1,0.3%,0,8,2.5%,0,0%,0,0%,20,6.2%,0,0%,4,1.2%,43.2%
本周 GitHub 榜单上，AI 智能体项目占了七成！superpowers 快二十万星，skills 近九万星，agentmemory 给 AI 加记忆。,2026年05月18日 13:07:58,1268,97.6%,8.2%,4.2星,4.5星,4.2星,52.3%,50%,52.3%,15.7%,0%,16.9%,90,7.4%,0,45,3.5%,0,0%,0,0%,116,9.1%,10,0.8%,28,2.2%,50%
今天 GitHub 一天涨了将近 1700 颗星的是什么项目？,2026年05月18日 12:11:13,193,87.5%,6.9%,2.7星,4.3星,2.6星,41.8%,32.1%,43.4%,5.3%,0%,6.8%,3,1.9%,0,3,1.6%,0,0%,0,0%,7,3.6%,0,0%,1,0.5%,65.4%
62%的企业试了AI Agent，但规模化不到10%——中间藏着一个万亿级机会,2026年05月18日 09:00:33,128,91.4%,3.3%,2.7星,3.8星,2.8星,53.3%,50%,53.6%,2.3%,0%,2.6%,0,0%,0,2,1.6%,0,0%,0,0%,1,0.8%,0,0%,0,0%,19.8%
8.3万亿市场，大厂不愿碰，3亿老人在等你,2026年05月17日 21:26:30,11,40%,3.1%,4.9星,5星,2星,30.8%,33.3%,28.6%,25%,0%,40%,0,0%,0,2,18.2%,0,0%,0,0%,0,0%,0,0%,0,0%,15.1%
WiFi信号能看穿墙壁！这不是科幻电影 最近发现一个叫RuView的开源项目，用WiFi路由器的无线电波就能感知人体,2026年05月17日 12:31:44,176,96.5%,3.1%,3.3星,2星,3.4星,48.3%,40%,48.5%,1.1%,0%,1.2%,0,0%,0,0,0%,0,0%,0,0%,2,1.1%,0,0%,0,0%,54.7%
注意了 ⚠️ 今天 GitHub 上这几个项目涨星特别猛,2026年05月15日 11:20:23,152,96%,0%,3.6星,4.3星,3.6星,52.1%,100%,51.7%,3.7%,0%,3.8%,0,0%,0,3,2%,0,0%,0,0%,2,1.3%,0,0%,0,0%,70.9%
很多人不知道，GitHub 上有个项目，用 WiFi 信号就能实现空间感知，不需要摄像头。还有一个 19 万星的智能体,2026年05月16日 09:02:29,284,97.5%,3.8%,4.8星,4星,4.8星,39.5%,40%,39.5%,4%,0%,4.4%,1,0.4%,0,7,2.5%,0,0%,0,0%,6,2.1%,0,0%,0,0%,37.6%
今天 GitHub 八个项目涨星最猛，AI 工具直接霸榜了,2026年05月17日 09:44:45,167,94.4%,4.6%,3.3星,2.6星,3.5星,53.8%,14.3%,55.5%,2.4%,0%,2.6%,1,0.7%,0,2,1.2%,0,0%,0,0%,3,1.8%,0,0%,0,0%,59.7%
本周 GitHub 涨星最猛的 15 个开源项目，AI 直接霸榜了,2026年05月17日 09:52:25,192,93.7%,5.6%,4.4星,4.5星,4.4星,42.3%,28.6%,42.8%,3.7%,14.3%,4%,1,0.6%,0,3,1.6%,0,0%,0,0%,4,2.1%,0,0%,0,0%,50.9%
⚠️ 你家的WiFi路由器，可能比你想象的更"聪明"硬件成本只要9美元，58K Star值得关注你觉得这个技术未来会用在哪里？,2026年05月17日 11:56:27,97,94.8%,2.6%,3.8星,2星,3.8星,48.6%,80%,47%,1%,0%,1.1%,0,0%,0,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,55%
